id;name;sip_number;description
1;models CFP Franc Human;Quality;Frozen hacking Home Loan Account
2;synthesizing;navigating Solutions;Handcrafted Concrete Chicken Architect South Dakota
3;Customer supply-chains Corporate;Mandatory Berkshire;Buckinghamshire
4;methodical;Producer;Chair
5;bypass Developer;Awesome Wooden Table;invoice
6;indexing Ports;China South Georgia and the South Sandwich Islands North Dakota;bypassing
7;capacitor;circuit hacking;interactive
8;navigate Skyway orchid;Leone Toys Home;Aruban Guilder
9;reboot National National;Soap Orchestrator;program Shoes optical
10;Rustic Cotton Shoes systemic alarm;Cayman Islands Dollar;Bacon withdrawal
